Designator,Footprint,Quantity,Value,LCSC Part #,Matches,Part # ,Manufacturer,Footprint,JLCPCB Part #
R26,0603,1,0,,Unconfirmed,0603WAF0000T5E,UNI-ROYAL(Uniroyal Elec),0603,C21189
R4,0603,1,4.7k,,Unconfirmed,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,C25900
R6,0603,1,60k,,Select by Customer,0603WAF6042T5E,UNI-ROYAL(Uniroyal Elec),0603,C23089
R7,0603,1,1.6,,Unconfirmed,FRC0603F1R60TS,FOJAN,0603,C2930144
RCS1,2512,1,"500m, 3W",,Select by Customer,HoJLR2512-3W-500mR-1%,Milliohm,2512,C2904268
RFBB1,0603,1,4.76K,,Select by Customer,0603WAF4871T5E,UNI-ROYAL(Uniroyal Elec),0603,C23045
RFBB2,0603,1,20k,,Select by System,0603WAF2002T5E,UNI-ROYAL(Uniroyal Elec),0603,C4184
"RFBT1, RFBT2, RPG1, RPG2",0603,4,100k,,Unconfirmed,0603WAF1003T5E,UNI-ROYAL(Uniroyal Elec),0603,C25803
RP_B1,WSHP2818R0200FEA,1,WSHP2818R0200FEA,,Select by System,WSHP2818R0200FEA,Vishay Intertech,2818,C2090752
RP_LIM1,TO-247-2_Horizontal_TabDown,1,PF2472-0R1F1,,Select by System,PF2472-0R1F1,Riedon,TO-247-2,C3387781
T1,SOP254P2413X978-12N,1,DA2033-AL,,Unconfirmed,DA2033-ALD,Coilcraft,SMD-12,C5142798
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F303RETx,,Select by Customer,STM32F303RET6,STMicroelectronics,LQFP-64(10x10),C183214
U2,SOT-23-6,1,USBLC6-2SC6,,Select by System,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,C2827654
U3,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,FT230XQ,,Unconfirmed,FT230XQ-R,FTDI,QFN-16-EP(4x4),C128629
U4,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A2050PDQN,,Unconfirmed,TPS7A2050PDQNR,Texas Instruments,X2-SON-4-EP(1x1),C2866499
U5,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A2033PDQN,,Unconfirmed,TPS7A2033PDQNR,Texas Instruments,SON-4(1x1),C2871641
"U6, U7",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,2,LMR33630ADDA,,Select by System,LMR33630ADDA,Texas Instruments,ESOP-8,C2866787
U8,TLP152_4P55X3P7_TOS,1,TLP152TPL_E,,Select by System,"TLP152(TPL,E",TOSHIBA,SOIC-5-4.6mm,C150122
U9,21-0041-A_8L,1,MAX22702EASA+,,Select by System,MAX22702EASA+,Analog Devices Inc./Maxim Integrated,SOIC-8,C17268134
